Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Developer,Rating
Country Dance,Wii,2011,Misc,Funbox Media,0.66,,,High Voltage Software,E10+
MLB 2004,PS2,2003,Sports,Sony Computer Entertainment,0.66,61,7.9,989 Sports,E
Naruto Shippuden: Ultimate Ninja 4,PS2,2007,Fighting,Atari,0.66,,,,
The Sims 3: High-End Loft Stuff,PC,2010,Simulation,Electronic Arts,0.66,,6.5,The Sims Studio,T
Tiger Woods PGA Tour 2000,PS,1998,Sports,Electronic Arts,0.66,,,,
Darkstone,PS,2001,Role-Playing,Electronic Arts,0.66,58,8.3,Delphine Software International,T
NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,0.66,74,8,NuFX,E
Diablo III,XOne,2014,Role-Playing,Activision,0.66,,,,
Finding Nemo,XB,2003,Action,THQ,0.66,63,,Traveller's Tales,E
Thrillville,PS2,2006,Strategy,Atari,0.66,69,2.9,Frontier Developments,E10+
Lalaloopsy,DS,2011,Simulation,Activision,0.66,,,Activision,E
Jikkyou World Soccer 2000 Final Edition,PS2,2000,Sports,Konami Digital Entertainment,0.66,,,,
Madagascar,GC,2005,Platform,Activision,0.66,70,,Toys for Bob,E10+
Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,0.66,83,7.8,Mercury Steam,M
Hidden Objects: Mystery Stories,DS,2009,Adventure,GSP,0.66,,,,
NHL 10,X360,2009,Sports,Electronic Arts,0.66,88,8.4,EA Canada,E10+
100 Classic Books,DS,2008,Misc,Nintendo,0.66,70,6,Genius Sonority Inc.,
Puzzler Brain Games,Wii,2012,Puzzle,Namco Bandai Games,0.66,,,,
TV Show King Party,Wii,2008,Puzzle,Ubisoft,0.66,,,Gameloft,T
Dragon Quest Monsters: Caravan Heart,GBA,2003,Role-Playing,Enix Corporation,0.66,,,,
Strawberry Shortcake: Summertime Adventure,GBA,2004,Adventure,Majesco Entertainment,0.66,,,Gorilla Systems,E
Street Fighter Anniversary Collection,PS2,2004,Fighting,Capcom,0.66,78,8.7,Capcom,T
Legend of Legaia,PS,1998,Role-Playing,Sony Computer Entertainment,0.66,,,,
NHL 13,X360,2012,Sports,Electronic Arts,0.66,83,6.6,Electronic Arts,E10+
Napoleon: Total War,PC,2010,Strategy,Sega,0.66,81,7.9,Creative Assembly,T
Metro: Last Light,PS4,2014,Action,Deep Silver,0.66,,,,
Madden NFL 10,PSP,2009,Sports,Electronic Arts,0.66,,7.8,EA Tiburon,E
Rayman Legends,WiiU,2013,Platform,Ubisoft,0.66,92,8.7,Ubisoft Montpellier,E10+
The Sims: Bustin' Out,GC,2003,Simulation,Electronic Arts,0.66,81,9,Maxis,T
BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.66,94,8.5,Irrational Games,M
Keystone Kapers,2600,1982,Action,Activision,0.66,,,,
Ratatouille,PSP,2007,Action,THQ,0.66,64,7.1,Locomotive Games,E
Lollipop Chainsaw,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.66,67,7.1,Grasshopper Manufacture,M
Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft,0.66,76,6.6,Ubisoft Shanghai,T
Shrek: Hassle at the Castle,GBA,2002,Action,TDK Mediactive,0.66,71,7.4,TOSE,E
Suikoden IV,PS2,2004,Role-Playing,Konami Digital Entertainment,0.66,63,7.3,KCET,T
Gods Eater Burst,PSP,2010,Action,Namco Bandai Games,0.66,71,7.9,"Shift, Bandai Namco Games",T
Fist of the North Star: Ken's Rage,PS3,2010,Action,Ubisoft Annecy,0.66,60,6.9,"Koei, Omega Force",M
Plants vs. Zombies: Garden Warfare,PS3,2014,Shooter,Electronic Arts,0.66,,7.8,PopCap,E10+
Disney's Kim Possible 2: Drakken's Demise,GBA,2004,Platform,Disney Interactive Studios,0.66,77,,Artificial Mind and Movement,E
One Piece: Pirate Warriors 2,PS3,2013,Action,Namco Bandai Games,0.66,71,7.8,Omega Force,T
Um Jammer Lammy,PS,1998,Misc,Sony Computer Entertainment,0.66,,,,
Brothers In Arms: Road to Hill 30,XB,2005,Shooter,Ubisoft,0.66,88,8,Gearbox Software,M
LEGO Harry Potter: Years 5-7,DS,N/A,Action,Warner Bros. Interactive Entertainment,0.66,69,,Traveller's Tales,E10+
Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007,Misc,Namco Bandai Games,0.66,,,,
Animaniacs Ten Pin Alley,PS,1998,Sports,ASC Games,0.66,,,,
LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.65,70,6.7,TT Games,E10+
Kung Fu Panda,PS2,2008,Action,Activision,0.65,73,8.6,Xpec,E10+
Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,0.65,73,8.3,"Dimps Corporation, SCE Japan Studio",T
Rocksmith 2014,PC,2013,Misc,Ubisoft,0.65,,,,
Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,2010,Adventure,Disney Interactive Studios,0.65,,,,
Ratchet & Clank: Into the Nexus,PS3,2013,Shooter,Sony Computer Entertainment,0.65,,,,
Shaun White Snowboarding,PS3,2008,Sports,Ubisoft,0.65,63,6.3,Ubisoft Montreal,T
Radiata Stories,PS2,2005,Role-Playing,Square Enix,0.65,74,9,Tri-Ace,T
The Biggest Loser: Challenge,Wii,2010,Sports,THQ,0.65,,,Blitz Games Studios,E
Peppa Pig: Fun and Games,DS,2010,Misc,Ubisoft,0.65,,,,
F-Zero GX,GC,2003,Racing,Nintendo,0.65,89,8.5,Amusement Vision,T
Disney's Chicken Little,PS2,2005,Platform,Disney Interactive Studios,0.65,60,8.9,Avalanche Software,E10+
Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,0.65,76,7.4,"Krome Studios, Screenlife Games",T
Yoshi Topsy-Turvy,GBA,2004,Platform,Nintendo,0.65,60,6.6,Artoon,E
Monster Jam: Maximum Destruction,PS2,2002,Racing,Ubisoft,0.65,47,6,Ubisoft,T
Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,2005,Misc,THQ,0.65,,,,
Tiger Woods PGA Tour 09,PS3,2008,Sports,Electronic Arts,0.65,82,7.2,EA Tiburon,E
World of Dragon Warrior - Torneko: The Last Hope,PS,1999,Role-Playing,Enix Corporation,0.65,,,,
Mortal Kombat,PSV,2012,Fighting,Warner Bros. Interactive Entertainment,0.65,85,7.8,NetherRealm Studios,M
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007,Action,Activision,0.65,,,,
Tiger Woods PGA Tour 09,X360,2008,Sports,Electronic Arts,0.65,84,7.8,EA Tiburon,E
Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,0.65,89,9.4,Intelligent Systems,E
Wario: Master of Disguise,DS,2007,Platform,Nintendo,0.65,60,7.4,Suzak,E10+
Centipede,PS,1998,Shooter,Atari,0.65,,,,
The Last Story,Wii,2011,Role-Playing,Nintendo,0.65,80,8.4,"Mistwalker, Artoon",T
Drakengard,PS2,2003,Role-Playing,Square Enix,0.65,63,9.1,Cavia Inc.,M
SingStar Pop Hits,PS2,2007,Misc,Sony Computer Entertainment,0.65,,,,
Kung-Fu Master,2600,1987,Action,Activision,0.65,,,,
Champions: Return to Arms,PS2,2005,Role-Playing,Sony Online Entertainment,0.65,77,8.8,Snowblind Studios,T
Harry Potter and the Goblet of Fire,PS2,2005,Action,Electronic Arts,0.65,68,6.7,Electronic Arts,E10+
Toy Story 3: The Video Game,PSP,2010,Action,Disney Interactive Studios,0.65,,,,
SingStar R&B,PS2,2007,Misc,Sony Computer Entertainment,0.65,,,,
Mary-Kate and Ashley: Magical Mystery Mall,PS,2000,Adventure,Acclaim Entertainment,0.65,,,,
MX vs. ATV Untamed,PSP,2007,Racing,THQ,0.65,59,,Rainbow Studios,E
Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014,Action,Disney Interactive Studios,0.65,,,,
Tiger Woods PGA Tour 10,X360,2009,Sports,Electronic Arts,0.65,80,6.9,EA Tiburon,E
007: Quantum of Solace,Wii,2008,Action,Activision,0.65,54,7.5,Treyarch,T
Super Robot Taisen Impact,PS2,2002,Strategy,Banpresto,0.65,,,,
Wall-E,PSP,2008,Platform,THQ,0.65,64,,Heavy Iron Studios,E
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.65,64,8,Giants Software,E
Crafting Mama,DS,2010,Simulation,505 Games,0.65,,,Cooking Mama Limited,E
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2008,Misc,Namco Bandai Games,0.65,,,,
God of War III,PS4,2015,Action,Sony Computer Entertainment,0.65,,,,
Borderlands 2,PSV,2014,Shooter,Take-Two Interactive,0.64,64,7.6,Iron Galaxy Studios,M
Harry Potter and the Half-Blood Prince,PS2,2009,Action,Electronic Arts,0.64,,8.3,EA Bright Light,E10+
Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,Vivendi Games,0.64,67,6.6,Vicarious Visions,E
Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,0.64,84,7.7,Ubisoft,M
Need For Speed: Undercover,Wii,2008,Racing,Electronic Arts,0.64,54,6.2,Exient Entertainment,T
Spyro: A Hero's Tail,PS2,2004,Platform,Vivendi Games,0.64,60,8,Eurocom Entertainment Software,E
Crash: Twinsanity,PS2,2004,Platform,Vivendi Games,0.64,64,8,Traveller's Tales,E
The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.64,68,7.7,TT Games,E10+
Max Payne 2: The Fall of Max Payne,XB,2003,Shooter,Take-Two Interactive,0.64,84,8.4,Remedy Entertainment,M
Metal Gear Solid V: The Phantom Pain,PS3,2015,Action,Konami Digital Entertainment,0.64,,7.2,"Kojima Productions, Moby Dick Studio",M
Drawn to Life: The Next Chapter,DS,2009,Puzzle,THQ,0.64,72,7.7,5TH Cell,E
GoldenEye: Rogue Agent,PS2,2004,Shooter,Electronic Arts,0.64,60,7,EA LA,T
WWE 2K15,X360,2014,Sports,Take-Two Interactive,0.64,50,4,Yuke's,T
Paws & Claws: Pet Vet,DS,2007,Simulation,THQ,0.64,,,,
Star Ocean: First Departure,PSP,2007,Role-Playing,Square Enix,0.64,74,7.4,TOSE,T
James Bond 007: Everything or Nothing,XB,2004,Shooter,Electronic Arts,0.64,83,7.4,EA Redwood Shores,T
X2: Wolverine's Revenge,PS2,2003,Platform,Activision,0.64,58,7.2,GenePool,T
NBA Live 06,XB,2005,Sports,Electronic Arts,0.64,79,6.4,EA Canada,E
Tom Clancy's Rainbow Six,N64,1999,Shooter,Red Storm Entertainment,0.64,,,,
Castlevania,N64,1999,Platform,Konami Digital Entertainment,0.64,,,,
Rayman 2: The Great Escape,N64,1999,Platform,Ubisoft,0.64,,,,
Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.64,,,,
Rayman 3D,3DS,2011,Platform,Ubisoft,0.64,61,6.6,Ubisoft Casablanca,E
Football Manager 2014,PC,2013,Sports,Sega,0.64,85,5.5,Sports Interactive,E
New Play Control! Pikmin,Wii,2008,Strategy,Nintendo,0.64,,,,
TimeSplitters 2,XB,2002,Shooter,Eidos Interactive,0.64,88,7.7,Free Radical Design,T
Onimusha: Dawn of Dreams,PS2,2006,Action,Capcom,0.64,81,8.9,Capcom,M
Sengoku Basara: Samurai Heroes,PS3,2010,Action,Capcom,0.64,61,7.9,Capcom,T
Stuntman: Ignition,X360,2007,Racing,THQ,0.64,75,7.3,Paradigm Entertainment,T
Real Heroes: Firefighter,Wii,2009,Action,Rondomedia,0.64,67,8.2,Epicenter Studios,E10+
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.64,88,7.7,Arkane Studios,M
Up,DS,2009,Action,THQ,0.64,,,Altron,E
SpongeBob SquarePants: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.64,,,,
Konami Collector's Series: Arcade Advanced,GBA,2002,Misc,Konami Digital Entertainment,0.64,78,,KCEA,E
The Crew,XOne,2014,Racing,Ubisoft,0.64,64,5.9,"Ubisoft Reflections, Ivory Tower",T
Dragon Ball: Raging Blast 2,X360,2010,Fighting,Namco Bandai Games,0.64,57,7.4,Spike,T
Jampack Volume 13 (RP-T),PS2,2005,Misc,Sony Computer Entertainment,0.64,,,,
Madden NFL 2001,N64,2000,Sports,Electronic Arts,0.64,,,,
Cruis'n World,N64,1998,Racing,Nintendo,0.64,,,,
NHL 13,PS3,2012,Sports,Electronic Arts,0.64,84,6.8,Electronic Arts,E10+
Dead or Alive 5,PS3,2012,Fighting,Tecmo Koei,0.64,74,7.7,Team Ninja,M
Evolve,XOne,2015,Shooter,Take-Two Interactive,0.64,74,5.1,Turtle Rock Studios,M
Lemony Snicket's A Series of Unfortunate Events,PS2,2004,Platform,Activision,0.64,63,5.7,Adrenium,E
Lost Planet: Extreme Condition,PS3,2008,Shooter,Capcom,0.64,67,7,Capcom,T
X-Men Legends II: Rise of Apocalypse,PS2,2005,Role-Playing,Activision,0.63,82,7.3,Raven Software,T
Nightmare Creatures,PS,1997,Action,Sony Computer Entertainment,0.63,,,,
LittleBigPlanet 3,PS3,2014,Platform,Sony Computer Entertainment,0.63,,7.2,Sumo Digital,E
SingStar Queen,PS2,2009,Misc,Sony Computer Entertainment,0.63,73,,SCEE London Studio,T
LEGO Star Wars II: The Original Trilogy,X360,2006,Action,LucasArts,0.63,81,8,Traveller's Tales,E10+
Disney Sing It: Party Hits,Wii,2010,Misc,Disney Interactive Studios,0.63,,,Disney Interactive Studios,E
Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,0.63,,,,
Rock Band 3,Wii,2010,Misc,MTV Games,0.63,91,6.9,Backbone Entertainment,T
Dragon Age II,PC,2011,Action,Electronic Arts,0.63,82,4.5,BioWare,M
Tony Hawk's Pro Skater 2x,XB,2001,Sports,Activision,0.63,78,8.8,Treyarch,T
NBA Live 08,PS3,2007,Sports,Electronic Arts,0.63,73,6.8,EA Canada,E
Sim Theme Park,PS,1999,Strategy,Electronic Arts,0.63,,,,
FIFA Soccer 2003,XB,2002,Sports,Electronic Arts,0.63,88,7.7,EA Canada,E
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012,Misc,Namco Bandai Games,0.63,,,,
The Lord of the Rings: Conquest,X360,2009,Action,Electronic Arts,0.63,55,7,Pandemic Studios,T
Far Cry 4,PC,2014,Shooter,Ubisoft,0.63,80,6.7,Ubisoft Montreal,M
Monster Hunter 2,PS2,N/A,Role-Playing,Capcom,0.63,,,,
NASCAR 06: Total Team Control,PS2,2005,Racing,Electronic Arts,0.63,78,7.7,EA Sports,E
Dogz,GBA,2004,Simulation,Ubisoft,0.63,,,,
A Bug's Life,N64,1998,Platform,Activision,0.63,,,,
Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,0.63,,,,
Iron Man,PSP,2008,Action,Sega,0.63,44,6.5,Artificial Mind and Movement,T
White Knight Chronicles II,PS3,2010,Role-Playing,Sony Computer Entertainment,0.63,60,7.1,Level 5,T
Mobile Suit Z Gundam: AEUG vs. Titans,PS2,2003,Fighting,Namco Bandai Games,0.63,,,,
Juiced 2: Hot Import Nights,X360,2007,Racing,THQ,0.63,68,7.6,Juice Games,T
Wolfenstein,PS3,2009,Shooter,Activision,0.63,71,7.4,"id Software, Raven Software",M
The Walking Dead: Survival Instinct,X360,2013,Shooter,Activision,0.63,32,4,Terminal Reality,M
The Sims 3: Generations,PC,2011,Simulation,Electronic Arts,0.63,70,3.6,The Sims Studio,T
Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,0.63,82,8.4,SCE Japan Studio,E
Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.63,,,,
X-Man,2600,1982,Action,Universal Gamex,0.63,,,,
Sega Rally Revo,PS3,2007,Racing,Sega,0.63,75,7,SEGA Racing Studio,E
Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,Tecmo Koei,0.63,89,8.3,Atlus Co.,M
FIFA Soccer 2002,PS2,2001,Sports,Electronic Arts,0.63,82,5.8,EA Sports,E
Angry Birds Trilogy,3DS,2012,Action,Activision,0.63,62,4.6,Exient Entertainment,E
Final Fantasy VII International,PS,1997,Role-Playing,Square,0.63,,,,
Condemned 2: Bloodshot,X360,2008,Action,Sega,0.63,80,8.4,Monolith Productions,M
Okami,PS2,2006,Action,Capcom,0.63,93,9.3,Clover Studio,T
Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,Ghostlight,0.63,89,8.3,Atlus,M
Crash of the Titans,PSP,2007,Action,Vivendi Games,0.63,,7.1,SuperVillain Studios,E10+
NHL 2001,PS,2000,Sports,Electronic Arts,0.63,88,7.7,Page 44 Studios,E
Crysis 3,PC,2013,Shooter,Electronic Arts,0.63,76,6.5,Crytek,M
Buzz Lightyear of Star Command,PS,2000,Platform,Activision,0.63,54,5.3,Traveller's Tales,E
NHL 16,PS4,2015,Sports,Electronic Arts,0.63,78,5.5,"EA Sports, EA Canada",E10+
Namco Museum,GC,2002,Misc,Namco Bandai Games,0.63,62,,Mass Media,E
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,2009,Shooter,Activision,0.63,,,,
Cabela's Big Game Hunter (2008),Wii,2007,Sports,Activision,0.63,,,MagicWand,T
Tony Hawk's Project 8,PS3,2006,Sports,Activision,0.63,76,7.2,Neversoft Entertainment,T
Ghostbusters: The Video Game,X360,2009,Action,Atari,0.63,79,8.5,Terminal Reality,T
XCOM: Enemy Unknown,X360,2012,Strategy,Take-Two Interactive,0.62,90,8.3,Firaxis Games,M
Nobunaga no Yabou: Haouden,SNES,1993,Strategy,Tecmo Koei,0.62,,,,
Virtua Cop,SAT,1995,Shooter,Sega,0.62,,,,
Metal Gear Solid 2: Substance,XB,N/A,Action,Konami Digital Entertainment,0.62,87,8.5,KCEJ,M
Tony Hawk's American Wasteland,XB,2005,Sports,Activision,0.62,77,7.7,Neversoft Entertainment,T
WWF in Your House,PS,1996,Fighting,Acclaim Entertainment,0.62,,,,
Wild ARMs 3,PS2,2002,Role-Playing,Ubisoft,0.62,78,8.4,"Media Vision, Contrail",T
NBA ShootOut '97,PS,1997,Sports,Sony Computer Entertainment,0.62,,,,
Family Feud: 2010 Edition,Wii,2009,Misc,Ubisoft,0.62,,,Ludia Inc.,E
Madden NFL 07,GC,2006,Sports,Electronic Arts,0.62,82,9.2,EA Tiburon,E
LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.62,,7.2,TT Games,E10+
Battlezone,2600,1982,Shooter,Atari,0.62,,,,
Tiger Woods PGA Tour 2004,XB,2003,Sports,Electronic Arts,0.62,89,8.2,EA Sports,E
Test Drive Unlimited 2,PS3,N/A,Racing,Atari,0.62,70,6.1,Eden,T
Tak 2: The Staff of Dreams,PS2,2004,Platform,THQ,0.62,71,8,Avalanche Software,E
Just Dance 3,PS3,2011,Misc,Ubisoft,0.62,75,6,Ubisoft,E10+
LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,Disney Interactive Studios,0.62,71,7.3,Traveller's Tales,E10+
Donkey Kong Barrel Blast,Wii,2007,Racing,Nintendo,0.62,46,6.8,Paon Corporation,E
The Princess and the Frog,DS,2009,Platform,Disney Interactive Studios,0.62,,,Griptonite Games,E
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.62,,,,
Viewtiful Joe,GC,2003,Action,Capcom,0.62,93,8.3,Clover Studio,T
The Urbz: Sims in the City,GBA,2004,Simulation,Electronic Arts,0.62,72,9.2,Griptonite Games,E
Beetle Adventure Racing!,N64,1999,Racing,Electronic Arts,0.62,,,,
Guitar Hero: Metallica,PS3,2009,Misc,Activision,0.62,86,8,Neversoft Entertainment,T
Disney's 102 Dalmatians: Puppies to the Rescue,PS,2000,Platform,Eidos Interactive,0.62,,,Toys for Bob,E
Strike Force Bowling,PS2,2004,Sports,Play It,0.62,48,6.8,Lab Rats Games,E
Halloween,2600,1982,Action,Wizard Video Games,0.62,,,,
Red Steel 2,Wii,2010,Shooter,Ubisoft,0.62,80,8.6,Ubisoft Paris,T
Bass Landing,PS,1999,Sports,ASCII Entertainment,0.62,,,,
XGRA: Extreme G-Racing Association,PS2,2004,Racing,Eidos Interactive,0.62,68,8.6,Acclaim Studios Cheltenham,T
Mafia III,XOne,2016,Action,Take-Two Interactive,0.62,67,4.6,Hangar 13,M
Bolt,DS,2008,Adventure,Disney Interactive Studios,0.62,,,,
Mario's Picross,GB,1995,Puzzle,Nintendo,0.62,,,,
Pac-Man Player's Choice Bundle,GC,2003,Misc,Namco Bandai Games,0.62,,,,
Fighters MEGAMiX,SAT,1996,Fighting,Sega,0.62,,,,
Bahamut Lagoon,SNES,1996,Role-Playing,SquareSoft,0.62,,,,
Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,0.62,74,7.8,Ubisoft Montreal,T
Warriors Orochi 3,PS3,2011,Action,Ubisoft Annecy,0.62,70,7.9,Omega Force,T
Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,Eidos Interactive,0.62,,8.2,Core Design Ltd.,T
DJ Hero 2,Wii,2010,Misc,Activision,0.62,88,7.5,FreeStyleGames,T
Toshochu: Run for Money,3DS,2012,Adventure,Namco Bandai Games,0.62,,,,
Dragon Quest Monsters: Joker 2 Professional,DS,2011,Role-Playing,Square Enix,0.62,,,,
NFL Quarterback Club 99,N64,1998,Sports,Acclaim Entertainment,0.62,,,,
Super Robot Taisen α Gaiden,PS,2001,Strategy,Banpresto,0.62,,,,
Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,Electronic Arts,0.62,80,6.1,Electronic Arts,E
Battle of Giants: Dragons,DS,2009,Strategy,Ubisoft,0.62,,6,Ubisoft Quebec,E10+
Wall-E,X360,2008,Platform,THQ,0.62,50,6.3,Heavy Iron Studios,E
Start the Party!,PS3,2010,Misc,Sony Computer Entertainment,0.62,,,,
Formula 1: Championship Edition,PS3,2006,Racing,Sony Computer Entertainment,0.61,,,,
Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,0.61,48,4.3,EA Bright Light,E
NieR,PS3,2010,Role-Playing,Square Enix,0.61,68,8.4,Cavia Inc.,M
2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.61,73,4.3,EA Canada,E
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,0.61,,,,
NBA 2K9,PS3,2008,Sports,Take-Two Interactive,0.61,82,7,Visual Concepts,E
SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,0.61,,5.5,THQ,E
SingStar Singalong With Disney,PS2,2008,Misc,Sony Computer Entertainment,0.61,,,,
NFL Fever 2003,XB,2002,Sports,Microsoft Game Studios,0.61,72,8.6,Microsoft Game Studios,E
Samurai Warriors 2,PS2,2006,Action,Tecmo Koei,0.61,58,8.8,Omega Force,T
Wet,PS3,2009,Shooter,Bethesda Softworks,0.61,70,6.4,Artificial Mind and Movement,M
Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,0.61,56,6,Cooking Mama Limited,E
Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.61,73,7.4,5TH Cell,E10+
The Black Eyed Peas Experience,Wii,2011,Misc,Ubisoft,0.61,,,Ubisoft Quebec,T
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,THQ,0.61,,,,
Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,Nintendo,0.61,81,7,Intelligent Systems,E10+
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.61,75,7.6,PopCap,E10+
Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,0.61,91,9.3,Retro Studios,T
Robotech: Battlecry,PS2,2002,Shooter,TDK Mediactive,0.61,72,8.5,Vicious Cycle,T
Dora the Explorer: Super Spies,GBA,2004,Platform,Gotham Games,0.61,,8,Cinegroupe,E
Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.61,70,6.9,Eurocom Entertainment Software,E10+
Advance Wars: Days of Ruin,DS,N/A,Strategy,Nintendo,0.61,86,8.7,Intelligent Systems,E10+
Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,0.61,71,6.3,High Impact Games,E10+
Texas Hold 'Em Poker,GBA,2004,Misc,Majesco Entertainment,0.61,49,6.8,Skyworks Technologies,E
Time Crisis 3,PS2,2003,Shooter,Namco Bandai Games,0.61,81,8.1,Namco,T
WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,THQ,0.61,,6.6,Yuke's,T
Vanquish,PS3,2010,Shooter,Sega,0.61,84,8.1,PlatinumGames,M
Ganbaru Watashi no Kakei Diary,DS,2007,Misc,Nintendo,0.61,,,,
Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,0.61,87,8.9,Media Molecule,E
Small Soldiers,PS,1998,Platform,Electronic Arts,0.61,,,,
Half-Life 2,XB,2005,Shooter,Electronic Arts,0.61,90,8.6,Valve Software,M
Duke Nukem: Total Meltdown,PS,1997,Shooter,GT Interactive,0.61,,,,
Tony Hawk: RIDE,X360,2009,Sports,Activision,0.61,46,3,Robomodo,E10+
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.61,77,6.3,2K Australia,M
Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,0.61,70,5.9,Kush Games,E
Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,0.61,70,7.1,"Ascaron Entertainment GmbH, Ascaron Entertainment",M
pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,0.61,79,5.9,Konami,E
Major League Baseball 2K9,X360,2009,Sports,Spike,0.61,64,5.3,2K Sports,E
Final Fantasy IV Advance,GBA,2005,Role-Playing,Nintendo,0.61,85,7.3,TOSE,E10+
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai Games,0.61,58,5.4,Spike,T
Madden NFL 2003,GBA,2002,Sports,Electronic Arts,0.61,76,,BudCat,E
Tomb Raider (2013),XOne,2014,Action,Square Enix,0.61,,,,
Petz: Dogz Pack,DS,2008,Simulation,Ubisoft,0.61,,,,
Harry Potter and the Goblet of Fire,GBA,2005,Action,Electronic Arts,0.61,71,6,Magic Pockets,E
Tomb Raider Chronicles,PS,1999,Action,Eidos Interactive,0.61,,,,
Dragon Ball Z: Buu's Fury,GBA,2004,Action,Atari,0.61,62,8.9,Webfoot Technologies,E
Madden NFL 2002,GC,2001,Sports,Electronic Arts,0.61,89,,EA Sports,E
Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,0.61,84,8.7,Vicarious Visions,E
Madden NFL 2000,N64,1999,Sports,Electronic Arts,0.61,,,,
Game & Watch Gallery 4,GBA,2002,Misc,Nintendo,0.61,,,,
MySims Racing,DS,2009,Racing,Electronic Arts,0.61,67,7.3,EA Games,E
Naruto: Ultimate Ninja,PS2,2003,Fighting,Atari,0.61,75,7.7,CyberConnect2,T
Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,0.61,59,5.9,TOSE,E10+
Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,0.61,,,FUN Labs,T
Tony Hawk's Underground,GBA,2003,Sports,Activision,0.6,86,7.7,Vicarious Visions,E
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.6,,,,
Monster Trucks,GBA,2004,Racing,Majesco Entertainment,0.6,,,Skyworks Technologies,E
World of Zoo,Wii,2009,Simulation,THQ,0.6,,8.2,Blue Fang Games,E
Shadow The Hedgehog,PS2,2005,Platform,Sega,0.6,45,6,Sonic Team,E10+
